sample_id,url,label,label_name,source,source_id,source_metadata,score,risk,prediction,prediction_name,correct,indicator_count,indicators
PG-0054,http://976tep2sg8.vk.com/away.php?to=https://alcorsecurity.com/irs.gov_taxportaleservice_verify/Form5071C/IRS,1,phishing,PhishTank,8450437,Internal Revenue Service,16,LOW RISK,1,phishing,True,2,HTTP_SCHEME|SUSPICIOUS_KEYWORDS
PG-0055,https://allegro.938327382939129gfog.sbs/,1,phishing,PhishTank,9420427,Allegro,0,LOW RISK,0,legitimate,False,0,
PG-0056,https://t.co/l8ey2Sej9I,1,phishing,PhishTank,9348796,Other,12,LOW RISK,1,phishing,True,1,URL_SHORTENER
PG-0057,https://wordpress-211144-0.cloudclusters.net/Axa/axafixedV4/,1,phishing,PhishTank,9416747,Other,0,LOW RISK,0,legitimate,False,0,
PG-0058,https://ingage.tech/,0,legitimate,Tranco,2162,top-ranked domain,0,LOW RISK,0,legitimate,True,0,
PG-0059,https://medicalnewstoday.com/,0,legitimate,Tranco,2185,top-ranked domain,0,LOW RISK,0,legitimate,True,0,
PG-0060,https://q-r.to/bgbvEq,1,phishing,PhishTank,9343250,Other,0,LOW RISK,0,legitimate,False,0,
PG-0061,https://savesyrianow.com,1,phishing,PhishTank,9448618,Other,0,LOW RISK,0,legitimate,False,0,
PG-0062,https://crn77.com/,0,legitimate,Tranco,1460,top-ranked domain,0,LOW RISK,0,legitimate,True,0,
PG-0063,https://hsforms.com/,0,legitimate,Tranco,2204,top-ranked domain,0,LOW RISK,0,legitimate,True,0,
PG-0064,https://glasvezelactiveren.nl/,0,legitimate,Tranco,3319,top-ranked domain,0,LOW RISK,0,legitimate,True,0,
PG-0065,https://qrco.de/bfZ4gr?trackingid=x97cDFAL&amp;signature=newsletter,1,phishing,PhishTank,8857386,Other,0,LOW RISK,0,legitimate,False,0,
PG-0066,https://docs.google.com/presentation/d/e/2PACX-1vR7At5CvdfB6-cI0B263ETNacD7carJ9wKFWuH47hDvh1DZmDgme6w8BZ3x_JHfMbXBXgHHKbGOUteM/pub?start=false&amp;loop=false&amp;delayms=3000,1,phishing,PhishTank,8850212,Other,9,LOW RISK,1,phishing,True,1,LONG_URL
PG-0067,https://telefonica.com/,0,legitimate,Tranco,3815,top-ranked domain,0,LOW RISK,0,legitimate,True,0,
PG-0068,https://l.ead.me/bfU4XB,1,phishing,PhishTank,8811276,Other,0,LOW RISK,0,legitimate,False,0,
PG-0069,https://ibb.co/,0,legitimate,Tranco,2563,top-ranked domain,0,LOW RISK,0,legitimate,True,0,
PG-0070,https://l.ead.me/bfFgEE,1,phishing,PhishTank,8676402,Other,0,LOW RISK,0,legitimate,False,0,
PG-0071,https://prezi.com/,0,legitimate,Tranco,2897,top-ranked domain,0,LOW RISK,0,legitimate,True,0,
PG-0072,https://msmvoice.blogspot.com/,1,phishing,PhishTank,8009566,Other,5,LOW RISK,1,phishing,True,1,HOSTED_PLATFORM
PG-0073,https://33across.com/,0,legitimate,Tranco,825,top-ranked domain,0,LOW RISK,0,legitimate,True,0,
PG-0074,https://l.ead.me/bfKY3e,1,phishing,PhishTank,8728515,Other,0,LOW RISK,0,legitimate,False,0,
PG-0075,https://business-standard.com/,0,legitimate,Tranco,4390,top-ranked domain,0,LOW RISK,0,legitimate,True,0,
PG-0076,https://ldgrlive-started.wixstudio.com/en-us,1,phishing,PhishTank,9386783,Other,5,LOW RISK,1,phishing,True,1,HOSTED_PLATFORM
PG-0077,https://wikiquote.org/,0,legitimate,Tranco,4720,top-ranked domain,0,LOW RISK,0,legitimate,True,0,
PG-0078,https://viet69z.me/,0,legitimate,Tranco,1855,top-ranked domain,0,LOW RISK,0,legitimate,True,0,
PG-0079,https://spamcop.net/,0,legitimate,Tranco,4876,top-ranked domain,0,LOW RISK,0,legitimate,True,0,
PG-0080,http://kitarist.si/,1,phishing,PhishTank,8130582,Other,12,LOW RISK,1,phishing,True,1,HTTP_SCHEME
PG-0081,https://upenn.edu/,0,legitimate,Tranco,1220,top-ranked domain,0,LOW RISK,0,legitimate,True,0,
PG-0082,https://google.co.nz/,0,legitimate,Tranco,3894,top-ranked domain,0,LOW RISK,0,legitimate,True,0,
PG-0083,https://nelreports.net/,0,legitimate,Tranco,1792,top-ranked domain,0,LOW RISK,0,legitimate,True,0,
PG-0084,https://news.cn/,0,legitimate,Tranco,2849,top-ranked domain,0,LOW RISK,0,legitimate,True,0,
PG-0085,https://bitly.com/,0,legitimate,Tranco,3566,top-ranked domain,0,LOW RISK,0,legitimate,True,0,
PG-0086,https://salesmartly.com/,0,legitimate,Tranco,4463,top-ranked domain,0,LOW RISK,0,legitimate,True,0,
PG-0087,https://narod.ru/,0,legitimate,Tranco,2912,top-ranked domain,0,LOW RISK,0,legitimate,True,0,
PG-0088,https://bassbodyfuel.com/nz/airnewzealand/,1,phishing,PhishTank,9511276,Other,0,LOW RISK,0,legitimate,False,0,
PG-0089,https://phys.org/,0,legitimate,Tranco,2904,top-ranked domain,0,LOW RISK,0,legitimate,True,0,
PG-0090,https://footmercato.net/,0,legitimate,Tranco,1475,top-ranked domain,0,LOW RISK,0,legitimate,True,0,
PG-0091,https://qrco.de/bfah7j,1,phishing,PhishTank,8872531,Other,0,LOW RISK,0,legitimate,False,0,
PG-0092,https://wisc.edu/,0,legitimate,Tranco,1471,top-ranked domain,0,LOW RISK,0,legitimate,True,0,
PG-0093,https://vkvideo.ru/,0,legitimate,Tranco,2209,top-ranked domain,0,LOW RISK,0,legitimate,True,0,
PG-0094,https://envato.com/,0,legitimate,Tranco,2703,top-ranked domain,0,LOW RISK,0,legitimate,True,0,
PG-0095,https://fastly.net/,0,legitimate,Tranco,36,top-ranked domain,0,LOW RISK,0,legitimate,True,0,
PG-0096,https://history.com/,0,legitimate,Tranco,2876,top-ranked domain,0,LOW RISK,0,legitimate,True,0,
PG-0097,https://kunluncan.com/,0,legitimate,Tranco,950,top-ranked domain,0,LOW RISK,0,legitimate,True,0,
PG-0098,https://amazonaws.com/,0,legitimate,Tranco,7,top-ranked domain,0,LOW RISK,0,legitimate,True,0,
PG-0099,https://estatesync-dev-346221.firebaseapp.com/,1,phishing,PhishTank,8389467,Other,5,LOW RISK,1,phishing,True,1,HOSTED_PLATFORM
PG-0100,https://allegrolokalnie.lokalna-9112.shop/oferta/G-Skill-Trident-Z5-DDR5-32GB-6000MHz-CL26-EXPO-RGB-RAM/175712207,1,phishing,PhishTank,9489665,Allegro,0,LOW RISK,0,legitimate,False,0,
PG-0101,https://jamfcloud.com/,0,legitimate,Tranco,1911,top-ranked domain,0,LOW RISK,0,legitimate,True,0,
PG-0102,https://creativecommons.org/,0,legitimate,Tranco,194,top-ranked domain,0,LOW RISK,0,legitimate,True,0,
PG-0103,https://amd.com/,0,legitimate,Tranco,1135,top-ranked domain,0,LOW RISK,0,legitimate,True,0,
PG-0104,https://elconfidencial.com/,0,legitimate,Tranco,1190,top-ranked domain,0,LOW RISK,0,legitimate,True,0,
PG-0105,https://docs.google.com/forms/d/e/1FAIpQLSemiNgQGl-SZchhDYddYBfRfboUZA3KAwpfPXYDipst_skhiw/viewform,1,phishing,PhishTank,9256748,Other,0,LOW RISK,0,legitimate,False,0,
PG-0106,https://bit.ly/4cYfLAJ,1,phishing,PhishTank,8702821,Other,12,LOW RISK,1,phishing,True,1,URL_SHORTENER
PG-0107,https://moz.com/,0,legitimate,Tranco,2952,top-ranked domain,0,LOW RISK,0,legitimate,True,0,
PG-0108,https://sp29ct-lorqik-biz-femtor-varnel.pages.dev/,1,phishing,PhishTank,9492676,Other,8,LOW RISK,1,phishing,True,1,MANY_HYPHENS
PG-0109,https://about.me/,0,legitimate,Tranco,3019,top-ranked domain,0,LOW RISK,0,legitimate,True,0,
PG-0110,https://service-public.fr/,0,legitimate,Tranco,4973,top-ranked domain,0,LOW RISK,0,legitimate,True,0,
PG-0111,https://ix.ru/,0,legitimate,Tranco,3171,top-ranked domain,0,LOW RISK,0,legitimate,True,0,
PG-0112,https://hyperliquid.xyz/,0,legitimate,Tranco,4381,top-ranked domain,7,LOW RISK,1,phishing,False,1,SUSPICIOUS_TLD
PG-0113,https://rogers.com/,0,legitimate,Tranco,4909,top-ranked domain,0,LOW RISK,0,legitimate,True,0,
PG-0114,https://bit.ly/46sz6rf,1,phishing,PhishTank,8687133,Other,12,LOW RISK,1,phishing,True,1,URL_SHORTENER
PG-0115,https://xahani.com/,0,legitimate,Tranco,1738,top-ranked domain,0,LOW RISK,0,legitimate,True,0,
PG-0116,https://serverdata.net/,0,legitimate,Tranco,3379,top-ranked domain,0,LOW RISK,0,legitimate,True,0,
PG-0117,https://wordwall.net/,0,legitimate,Tranco,4489,top-ranked domain,0,LOW RISK,0,legitimate,True,0,
PG-0118,https://jatfiabb.blogspot.com/,1,phishing,PhishTank,9519596,Other,5,LOW RISK,1,phishing,True,1,HOSTED_PLATFORM
PG-0119,https://sndcdn.com/,0,legitimate,Tranco,4831,top-ranked domain,0,LOW RISK,0,legitimate,True,0,
PG-0120,https://t-mobile.com/,0,legitimate,Tranco,970,top-ranked domain,0,LOW RISK,0,legitimate,True,0,
PG-0121,https://pa.gov/,0,legitimate,Tranco,4659,top-ranked domain,0,LOW RISK,0,legitimate,True,0,
PG-0122,https://aqui12ecu.webcindario.com/,1,phishing,PhishTank,9306244,Other,0,LOW RISK,0,legitimate,False,0,
PG-0123,https://foreignpolicy.com/,0,legitimate,Tranco,4605,top-ranked domain,0,LOW RISK,0,legitimate,True,0,
PG-0124,https://t.co/1xJaF0jtA0,1,phishing,PhishTank,9168843,Internal Revenue Service,12,LOW RISK,1,phishing,True,1,URL_SHORTENER
PG-0125,https://filmyfly.cafe/,0,legitimate,Tranco,1787,top-ranked domain,0,LOW RISK,0,legitimate,True,0,
PG-0126,https://zpr.io/KfDm8u2WhUqQ,1,phishing,PhishTank,9354962,Other,0,LOW RISK,0,legitimate,False,0,
PG-0127,https://grammarly.com/,0,legitimate,Tranco,573,top-ranked domain,0,LOW RISK,0,legitimate,True,0,
PG-0128,https://uai--cl.weebly.com/,1,phishing,PhishTank,9330325,Other,5,LOW RISK,1,phishing,True,1,HOSTED_PLATFORM
PG-0129,https://campaign-archive.com/,0,legitimate,Tranco,4860,top-ranked domain,0,LOW RISK,0,legitimate,True,0,
PG-0130,https://qrco.de/bgboBj,1,phishing,PhishTank,9337838,Other,0,LOW RISK,0,legitimate,False,0,
PG-0131,https://qrco.de/bfIlxw,1,phishing,PhishTank,8709707,Other,0,LOW RISK,0,legitimate,False,0,
PG-0132,https://rgnameserver.com/,0,legitimate,Tranco,3352,top-ranked domain,0,LOW RISK,0,legitimate,True,0,
PG-0133,http://verifi-produbc.webcindario.com,1,phishing,PhishTank,8582976,Other,12,LOW RISK,1,phishing,True,1,HTTP_SCHEME
PG-0134,https://affirm.com/,0,legitimate,Tranco,3039,top-ranked domain,0,LOW RISK,0,legitimate,True,0,
PG-0135,http://verified-violation.github.io/appeal,1,phishing,PhishTank,8927832,Other,12,LOW RISK,1,phishing,True,1,HTTP_SCHEME
PG-0136,https://qrco.de/bgadQY,1,phishing,PhishTank,9326132,Other,0,LOW RISK,0,legitimate,False,0,
PG-0137,https://ak-is2.net/,0,legitimate,Tranco,1936,top-ranked domain,0,LOW RISK,0,legitimate,True,0,
PG-0138,https://shopifycdn.com/,0,legitimate,Tranco,3427,top-ranked domain,0,LOW RISK,0,legitimate,True,0,
PG-0139,https://catarinareginasub.blogspot.com/?fbclid=PAAabxMcfqJnCT5nQKfMPdBrH1oS_qBNfkQwfJ0YPlO-NR14NfbquXMuxLKkI_aem_AfBglSORI4o7_2keA5tB4aWh9oGQ4Q4l9fzgKLcUzHHXL-hQpiUwKo6XJ6F6DhYaQ3Yvo-azzrjIahUunjk7X_Yzn2mfHezepv3iYYjTLbkZ1X_KTPxEdMpij7KipMx0TcEEcHf74yaEy9-dLerPSuu8&amp;m=1,1,phishing,PhishTank,7533160,Other,14,LOW RISK,1,phishing,True,2,HOSTED_PLATFORM|LONG_URL
PG-0140,https://hepsiburada.com/,0,legitimate,Tranco,3570,top-ranked domain,0,LOW RISK,0,legitimate,True,0,
PG-0141,https://bumlam.com/,0,legitimate,Tranco,2600,top-ranked domain,0,LOW RISK,0,legitimate,True,0,
PG-0142,https://pub-f93f0e86a9444bacbe8b4f015f8c7ce6.r2.dev/link.html,1,phishing,PhishTank,8255390,Other,0,LOW RISK,0,legitimate,False,0,
PG-0143,https://biolinky.co/infosever/,1,phishing,PhishTank,9269991,Other,0,LOW RISK,0,legitimate,False,0,
PG-0144,https://matomo.org/,0,legitimate,Tranco,2638,top-ranked domain,0,LOW RISK,0,legitimate,True,0,
PG-0145,https://inps.it/,0,legitimate,Tranco,1413,top-ranked domain,0,LOW RISK,0,legitimate,True,0,
PG-0146,https://webhostbox.net/,0,legitimate,Tranco,967,top-ranked domain,0,LOW RISK,0,legitimate,True,0,
PG-0147,https://redis.io/,0,legitimate,Tranco,2827,top-ranked domain,0,LOW RISK,0,legitimate,True,0,
PG-0148,https://nanshazs.com,1,phishing,PhishTank,9497291,Other,0,LOW RISK,0,legitimate,False,0,
PG-0149,https://deccanherald.com/,0,legitimate,Tranco,4941,top-ranked domain,0,LOW RISK,0,legitimate,True,0,
PG-0150,https://easydns.com/,0,legitimate,Tranco,4116,top-ranked domain,0,LOW RISK,0,legitimate,True,0,
PG-0151,https://sol-convert.com/,1,phishing,PhishTank,9504634,Other,0,LOW RISK,0,legitimate,False,0,
PG-0152,http://j0sundby.duckdns.org,1,phishing,PhishTank,9500850,Other,12,LOW RISK,1,phishing,True,1,HTTP_SCHEME
PG-0153,https://www.pluswelln.com/web,1,phishing,PhishTank,9436462,Apple,0,LOW RISK,0,legitimate,False,0,
PG-0154,https://manager.meridian-rentacar.com/,1,phishing,PhishTank,9380580,Other,0,LOW RISK,0,legitimate,False,0,
PG-0155,https://rfefrgdgfddf.duckdns.org/,1,phishing,PhishTank,9481840,Other,0,LOW RISK,0,legitimate,False,0,
PG-0156,https://4shared.com/,0,legitimate,Tranco,3820,top-ranked domain,0,LOW RISK,0,legitimate,True,0,
PG-0157,https://ni-jp.co,1,phishing,PhishTank,9456395,Other,0,LOW RISK,0,legitimate,False,0,
PG-0158,https://gdemoideti.ru/,0,legitimate,Tranco,1962,top-ranked domain,0,LOW RISK,0,legitimate,True,0,
PG-0159,https://ozkillikvincgaleri.com.tr/wp-includes/ar24,1,phishing,PhishTank,9286884,Other,0,LOW RISK,0,legitimate,False,0,
PG-0160,https://srmdata.com/,0,legitimate,Tranco,2808,top-ranked domain,0,LOW RISK,0,legitimate,True,0,
PG-0161,https://mjhiggs2011.wixsite.com/my-site-1,1,phishing,PhishTank,9257184,Other,0,LOW RISK,0,legitimate,False,0,
PG-0162,https://kakaku.com/,0,legitimate,Tranco,4475,top-ranked domain,0,LOW RISK,0,legitimate,True,0,
PG-0163,https://barrons.com/,0,legitimate,Tranco,4579,top-ranked domain,0,LOW RISK,0,legitimate,True,0,
PG-0164,https://catalogo-bb-na-marcha.vercel.app/,1,phishing,PhishTank,9437317,Other,8,LOW RISK,1,phishing,True,1,MANY_HYPHENS
PG-0165,http://xelvora-gld-larqumi-r3t7dc81.pages.dev/,1,phishing,PhishTank,9476604,Other,20,LOW RISK,1,phishing,True,2,HTTP_SCHEME|MANY_HYPHENS
PG-0166,https://pub-6502dddebdc447ed9023277db681dd94.r2.dev/vm3.html,1,phishing,PhishTank,8166849,Other,0,LOW RISK,0,legitimate,False,0,
PG-0167,https://fang.com/,0,legitimate,Tranco,3152,top-ranked domain,0,LOW RISK,0,legitimate,True,0,
PG-0168,http://pas58-et3-gl8-cji0-rh2-21n5.pages.dev/,1,phishing,PhishTank,9475621,Other,20,LOW RISK,1,phishing,True,2,HTTP_SCHEME|MANY_HYPHENS
PG-0169,https://zwzggjbl.shop/soFbneFy/,1,phishing,PhishTank,9513095,Sumitomo Mitsui Banking Corporation,0,LOW RISK,0,legitimate,False,0,
PG-0170,https://qrco.de/behqax,1,phishing,PhishTank,8421473,Other,0,LOW RISK,0,legitimate,False,0,
PG-0171,https://preply.com/,0,legitimate,Tranco,4574,top-ranked domain,0,LOW RISK,0,legitimate,True,0,
PG-0172,http://pub-d632e1a48ad344649f13deeb4ecf9a3a.r2.dev/artt.html,1,phishing,PhishTank,8498768,Other,12,LOW RISK,1,phishing,True,1,HTTP_SCHEME
PG-0173,https://qgdsgzeraqfqdfc.blogspot.com/,1,phishing,PhishTank,7461001,Other,5,LOW RISK,1,phishing,True,1,HOSTED_PLATFORM
PG-0174,https://betika.com/,0,legitimate,Tranco,1589,top-ranked domain,0,LOW RISK,0,legitimate,True,0,
PG-0175,https://glulive.com/,0,legitimate,Tranco,4024,top-ranked domain,0,LOW RISK,0,legitimate,True,0,
PG-0176,https://wbc1.webcindario.com/,1,phishing,PhishTank,8329759,Other,0,LOW RISK,0,legitimate,False,0,
PG-0177,https://typekit.net/,0,legitimate,Tranco,691,top-ranked domain,0,LOW RISK,0,legitimate,True,0,
PG-0178,https://gmxgmxgmxgmxmx.weebly.com/,1,phishing,PhishTank,9046909,Other,5,LOW RISK,1,phishing,True,1,HOSTED_PLATFORM
PG-0179,https://theglobeandmail.com/,0,legitimate,Tranco,2684,top-ranked domain,0,LOW RISK,0,legitimate,True,0,
PG-0180,https://fivecdm.com/,0,legitimate,Tranco,3571,top-ranked domain,0,LOW RISK,0,legitimate,True,0,
PG-0181,https://ungu.in/erhaerfhbrthbavwef,1,phishing,PhishTank,9158082,Other,0,LOW RISK,0,legitimate,False,0,
PG-0182,http://bordereaudedepostsecurise.com/,1,phishing,PhishTank,9204641,Other,12,LOW RISK,1,phishing,True,1,HTTP_SCHEME
PG-0183,https://distribuidora-nacional.duckdns.org/,1,phishing,PhishTank,9462630,Other,0,LOW RISK,0,legitimate,False,0,
PG-0184,https://casasbahia.com.br/,0,legitimate,Tranco,4956,top-ranked domain,0,LOW RISK,0,legitimate,True,0,
PG-0185,https://de-helpcenter-captcha.web.app/,1,phishing,PhishTank,8245073,Other,5,LOW RISK,1,phishing,True,1,HOSTED_PLATFORM
PG-0186,https://frgrgjfeijfegrfeifei.cfolks.pl/cr/fo/auth/log.php,1,phishing,PhishTank,9455558,Other,4,LOW RISK,0,legitimate,False,1,SUSPICIOUS_KEYWORDS
PG-0187,https://qrco.de/bfSOZO,1,phishing,PhishTank,8795246,Other,0,LOW RISK,0,legitimate,False,0,
PG-0188,https://l.ead.me/bfMSZr,1,phishing,PhishTank,8743712,Other,0,LOW RISK,0,legitimate,False,0,
PG-0189,https://xosodaiphat.com/,0,legitimate,Tranco,1661,top-ranked domain,0,LOW RISK,0,legitimate,True,0,
PG-0190,https://l.ead.me/bfJc7K,1,phishing,PhishTank,8719075,Other,0,LOW RISK,0,legitimate,False,0,
PG-0191,https://filmyfly.soy/,0,legitimate,Tranco,1870,top-ranked domain,0,LOW RISK,0,legitimate,True,0,
PG-0192,https://time.com/,0,legitimate,Tranco,560,top-ranked domain,0,LOW RISK,0,legitimate,True,0,
PG-0193,https://pub-0d275574d47649ed9944322d102ec15d.r2.dev/index.html,1,phishing,PhishTank,9211918,Other,0,LOW RISK,0,legitimate,False,0,
PG-0194,https://new.express.adobe.com/webpage/MYwNuortC0P4k,1,phishing,PhishTank,8386825,Other,0,LOW RISK,0,legitimate,False,0,
